Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Folate (DFE),Vitamin C (mg),Vitamin B12 (mcg)
Lentils boiled salted,175 mL,146,170,710,13,29,3,6.2,1,0.1,0.1,0.3,28,4.9,349,540,53,264,265,0,N/A
Lentils pink boiled,175 mL,179,190,793,14,32,N/A,5.9,1,0.2,0.3,0.6,22,4.1,4,317,39,161,112,0,N/A
Peas split boiled,175 mL,145,171,715,12,31,4,4.2,1,0.1,0.1,0.2,20,1.9,3,525,52,144,94,0,N/A
Soybeans boiled,175 mL,127,220,920,21,13,4,8,11,1.7,2.5,6.4,130,6.5,1,655,109,312,69,0,N/A
#Peanuts
Peanut butter chunk type fat sugar and salt added,30 mL,32,191,799,8,7,3,2.6,16,2.6,8,4.8,15,0.6,158,242,52,103,30,0,2
Peanut butter natural,30 mL,31,184,770,7,7,1,2.5,16,2.2,7.8,4.9,17,0.7,2,207,55,113,46,0,2.2
Peanut butter smooth type fat sugar and salt added,30 mL,32,191,798,8,6,3,1.8,16,3.3,7.7,4.5,14,0.6,149,210,50,116,24,0,2.9
Peanut butter smooth type light,30 mL,36,190,794,9,13,3,1.9,12,2.7,5.9,3.7,13,0.7,197,244,62,135,22,0,2.4
Peanuts all types shelled oil-roasted salted,60 mL,37,219,915,10,6,2,2.7,19,3.2,9.5,5.6,22,0.6,117,265,64,145,44,0,2.5
Peanuts all types shelled roasted,60 mL,37,217,906,9,8,2,3,18,2.6,9.1,5.8,20,0.8,2,244,65,133,54,0,2.6
#Nuts
Almonds dried,60 mL,36,208,870,8,7,2,4.2,18,1.4,11.6,4.4,89,1.5,tr,262,99,171,10,0,9.3
Almonds oil roasted,60 mL,40,242,1010,8,7,2,4.2,22,1.7,13.9,5.4,116,1.5,tr,278,109,186,11,0,10.3
Almonds roasted salted,60 mL,35,209,874,8,7,2,4.1,18,1.4,11.8,4.4,93,1.6,119,261,100,171,12,0,9.1
Brazil nuts dried,60 mL,36,233,974,5,4,1,2.7,24,5.4,8.7,7.3,57,0.9,1,234,133,257,8,0,2
Cashews roasted salted,60 mL,35,199,834,5,11,2,1,16,3.2,9.5,2.7,16,2.1,222,196,90,170,24,0,0.3
Hazelnuts or filberts dried,60 mL,34,215,899,5,6,1,3.3,21,1.5,15.6,2.7,39,1.6,0,233,56,99,39,0,5.2
Macadamia nuts roasted salted,60 mL,34,243,1017,3,4,1,2.7,26,4.1,20.1,0.5,24,0.9,90,123,40,67,3,0,0.2
Mixed nuts oil roasted salted,60 mL,36,222,929,6,8,2,3.2,20,3.1,11.4,4.8,39,1.2,151,209,85,167,30,0,2.6
Mixed nuts roasted,60 mL,35,206,863,6,9,N/A,3.1,18,2.4,10.9,3.7,24,1.3,4,207,78,151,17,0,N/A
Mixed nuts roasted salted,60 mL,35,206,863,6,9,2,3.1,18,2.4,10.9,3.7,24,1.3,232,207,78,151,17,0,3.8
Pecans dried,60 mL,25,173,726,2,3,1,2.4,18,1.6,10.2,5.4,18,0.6,0,103,30,70,6,0,0.4
Pine nuts pignolia dried,60 mL,34,230,963,5,4,1,1.3,23,1.7,6.4,11.7,5,1.9,1,204,86,197,12,0,3.2
Pistachios shelled roasted salted,60 mL,31,177,741,7,8,2,3.2,14,1.7,7.6,4.3,34,1.3,126,325,37,151,16,0,0.6
Walnuts dried,60 mL,25,166,694,4,3,1,1.7,17,1.6,2.3,12,25,0.7,1,112,40,88,25,0,0.2
#Nut Butters
Almond butter,30 mL,32,205,858,5,7,N/A,1.2,19,1.8,12.4,4,88,1.2,4,246,98,170,21,0,N/A
Cashew butter,30 mL,32,190,796,6,9,N/A,0.6,16,3.2,9.4,2.7,14,1.6,5,177,84,148,22,0,0.5
Sesame butter tahini,30 mL,30,181,757,5,6,tr,2.8,16,2.3,6.2,7.2,130,2.7,35,126,29,223,30,0,0.1
#Seeds
Flaxseeds whole and ground,15 mL,11,56,235,2,3,tr,3,4,0.4,0.8,3.2,36,0.5,3,89,39,53,30,0,tr
Pumpkin and squash seeds kernels dried,60 mL,35,189,792,9,6,tr,1.4,16,3,5,7.3,15,5.2,6,282,187,411,20,0,N/A
Sunflower seed kernels roasted salted,60 mL,32,189,790,6,8,1,2.9,16,1.7,3.1,10.7,23,1.2,133,276,42,375,77,0,8.5
Mixed Dishes
Chia seeds,1 tbsp,12,59,247,2,5.1,0,4.2,3.7,0.4,0,77,0.9,2,49,41,114,0,6,0.2,0
#Mexican
Burrito with beans and cheese,1,93,189,790,8,27,N/A,3.8,6,3.4,14,107,1.1,583,248,40,90,49,52,1,0.45
Burrito with beef cheese and chilli,1,152,316,1322,20,32,N/A,2.2,12,5.2,85,111,3.9,1046,333,35,158,99,99,2,1.03
Nachos with cheese,15-20 nachos,113,346,1446,9,36,N/A,4.1,19,7.8,18,272,1.3,816,172,55,276,N/A,N/A,1,0.82
Quesadilla with meat,1,184,627,2622,31,40,tr,2.5,38,17.3,95,442,3.9,1265,319,44,457,167,104,6,1.03
Taco salad,250 mL,129,193,807,12,13,2,2,11,4.1,35,92,1.3,452,275,29,138,40,18,4,0.58
Taco with beef cheese salsa + vegetables,2,78,168,704,9,12,N/A,N/A,9,5.2,26,101,1.1,366,216,32,93,N/A,45,1,0.48
#Sandwiches
Club sandwich,1,246,558,2335,32,47,5,2.8,26,5.8,76,152,4.5,1152,480,47,347,43,163,6,0.48
Egg salad sandwich,1,157,479,2003,14,27,3,1.2,35,6.6,335,119,2.9,693,155,19,187,153,121,0,0.92
Hot chicken sandwich,1,284,388,1621,40,31,2,1.7,10,3,89,109,4.7,1344,519,43,327,0,96,0,0.54
Ham sandwich,1,121,260,1089,13,28,2,2.1,10,2.6,32,92,2.5,1132,229,25,139,49,93,3,0.24
Roast beef sandwich,1,139,346,1447,22,33,N/A,2.5,14,3.6,51,54,4.2,792,316,31,239,11,69,2,1.22
Salmon salad sandwich,1,162,340,1422,16,33,5,1.7,16,2.9,27,222,2.5,818,271,31,257,27,105,1,2.45
Tuna salad sandwich,1,162,371,1552,20,33,5,1.7,18,2.9,15,93,2.9,745,220,32,233,30,97,1,1.25
#Salads
Caesar,250 mL,114,179,751,5,7,1,1.7,15,2,39,92,1.3,268,233,17,81,234,118,20,0.3
Caesar salad with chicken,500 mL,327,491,2055,41,12,3,3.7,31,4.3,137,147,2.9,718,890,61,146,504,249,42,0.76
Garden,250 mL,77,47,198,1,4,3,0.9,4,0.6,0,13,0.3,216,135,6,16,48,15,4,0
Greek,250 mL,111,139,580,4,4,2,1.1,13,3.9,19,121,0.6,315,130,12,85,43,20,11,0.36
Pasta salad with vegetables,250 mL,187,245,1001,5,33,5,2.2,10,1.6,0,27,1.8,1273,173,25,69,98,129,10,0
#Pasta
Lasagna with meat (7.5 cm x 9 cm),1 piece,232,364,1523,22,37,6,2.4,14,7.4,50,251,3.2,623,428,46,280,83,99,11,0.65
Lasagna vegetarian (7.5 cm x 9 cm),1 piece,256,355,1485,19,46,7,2.9,11,6.6,38,304,3.2,737,423,49,290,102,119,13,0.21
Macaroni and cheese (Kraft Dinner),250 mL,202,395,1653,11,49,6,2,17,4.1,9,158,2.2,784,162,36,194,165,191,tr,0.22
Macaroni casserole with beef and tomato soup,250 mL,263,319,1334,23,32,6,1.9,10,4,52,31,3.5,376,399,40,186,14,112,2,1.3
Spaghetti with cream sauce,250 mL,211,250,1047,9,47,4,1.9,2,0.9,5,81,2.2,111,140,34,140,33,192,tr,0.22
Spaghetti with meat sauce,250 mL,262,401,1678,19,50,9,4.9,14,4.5,56,101,4.7,1008,761,60,216,68,162,13,0.89
#Other Mixed Meals
Beef pot pie commercial individual,1 serving,227,638,2667,18,57,N/A,2,38,11.4,41,45,2.3,1203,293,N/A,109,279,88,0,N/A
Beef stew,250 mL,259,168,701,18,14,3,1.8,4,1.6,39,29,2.2,604,496,33,183,132,26,9,1.52
Butter chicken,250 mL,258,368,1538,28,13,4,1.5,23,9.9,116,125,2.4,740,669,54,307,147,15,11,0.44
Chicken fajita,1 fajita,223,350,1462,19,50,3,4.1,8,2.1,33,52,3.4,540,405,41,183,28,153,26,0.09
Chicken pot pie commercial individual,1 serving,227,494,2065,21,37,3,3.1,29,9.5,62,59,3,347,349,34,195,222,102,9,0.2
Pad Thai,250 mL,171,220,920,15,26,4,1.5,6,0.9,68,26,0.9,344,258,30,56,36,24,5,0.23
Poutine,250 mL,165,380,1587,13,25,1,1.9,26,9.9,40,282,1.4,755,387,26,261,97,16,7,0.38
Samosa vegetarian,2,100,306,1280,5,32,1,2.1,18,5.6,8,33,1.8,795,178,17,70,36,68,3,0.06
Shepherd's pie,250 mL,257,389,1628,17,40,5,3.1,17,5,41,52,1.9,584,766,54,213,94,42,14,1.23
Stir fry with beef,250 mL,229,290,1213,22,20,11,2.2,14,2.3,46,45,2.7,888,534,37,211,30,43,69,1.77
Stir fry with chicken,250 mL,171,255,1067,18,8,2,1.5,17,4,63,27,1.3,552,387,25,165,109,16,22,0.19
Stir fry with tofu,250 mL,171,183,767,14,10,3,1.4,10,1.1,tr,142,1.8,493,326,36,141,72,22,20,0.02
Sushi with fish,4,104,164,684,5,35,7,0.8,tr,0.1,3,20,0.5,666,142,21,66,52,15,2,0.11
Sushi with vegetables no fish,4,104,122,510,2,27,5,0.5,tr,0.1,0,13,0.2,100,60,13,38,16,7,2,tr
Sweet and sour meatballs,6,258,472,2322,26,33,19,0.7,26,10.6,95,76,3.3,931,409,37,243,33,34,1,2.6
Tourtiere homemade (20 cm diam),0.17,113,307,1283,15,23,1,1.2,17,6.4,47,28,1.9,352,273,22,157,1,59,1,0.3
pierogi pierogies potato and cheese,1,30,60,251,2,10,0.5,0.5,1.5,0.5,10,15,0.4,130,60,5,30,5,8,0.5,0.05
#Soups Ready-to-serve
Beef or chicken broth/bouillon,250 mL,254,18,74,3,tr,0,0,1,0.3,0,15,0.4,827,137,5,33,0,5,0,0.18
Beef chunky,250 mL,254,180,753,12,21,2,1.5,5,2.7,15,33,2.5,915,355,5,127,137,15,7,0.66
Chicken noodle chunky,250 mL,254,185,773,13,18,2,4.1,6,1.5,20,25,1.5,898,114,10,76,71,65,0,0.33
Chicken noodle low fat reduced salt,250 mL,257,105,444,9,13,1,2.1,2,1,13,21,0,501,N/A,N/A,N/A,N/A,N/A,0,N/A
Chicken vegetable chunky,250 mL,254,175,733,13,20,N/A,0.9,5,1.5,18,28,1.5,1128,388,10,112,317,13,6,0.25
Clam chowder Manhattan,250 mL,254,142,593,8,20,4,3,4,2.2,15,71,2.8,1057,406,20,89,178,10,13,8.37
Minestrone chunky,250 mL,254,134,563,5,22,6,6.1,3,1.6,5,63,1.9,913,647,15,117,226,72,5,0
Split pea with ham chunky,250 mL,254,195,817,12,28,5,4.1,4,1.7,8,36,2.3,1019,322,41,188,259,5,7,0.25
Vegetable chunky,250 mL,254,129,540,4,20,4,1.3,4,0.6,0,58,1.7,1068,418,8,76,307,18,6,0
#Soups Condensed prepared with water
Beef noodle,250 mL,258,88,366,5,9,2,0.8,3,1.2,5,15,1.2,1005,106,5,49,8,31,tr,0.21
Chicken broth,250 mL,254,41,170,5,1,1,0,1,0.4,0,10,0.5,806,218,3,76,0,5,0,0.25
Chicken noodle,250 mL,255,79,331,4,10,N/A,0.8,3,0.7,8,18,0.8,1169,59,5,38,38,37,tr,0.15
Cream of mushroom,250 mL,258,137,572,2,10,2,0.5,9,2.6,3,49,0.5,931,106,5,52,15,5,1,0.05
Tomato,250 mL,258,90,376,2,18,9,1.2,2,0.4,0,13,1.9,735,278,8,36,26,15,3,0
Tomato reduced salt,250 mL,258,90,376,2,19,8,0.5,2,0.4,0,13,1.9,52,278,8,36,44,18,70,0
Vegetables with beef,250 mL,258,83,345,6,11,1,0.7,2,0.9,5,18,1.2,835,183,5,44,101,10,1,0.34
Vegetarian vegetable,250 mL,255,76,318,2,13,4,0.5,2,0.3,0,23,1.1,868,222,8,36,122,10,2,0
#Soups Condensed prepared with 2% milk
Clam chowder New England,250 mL,262,157,658,10,18,N/A,1.6,5,1.9,16,202,1.6,1051,320,26,168,71,10,4,10.85
Cream of chicken,250 mL,262,189,789,8,16,7,0.3,10,3.7,21,194,0.7,1108,293,21,162,86,N/A,1,0.58
Cream of mushroom,250 mL,262,202,844,6,16,N/A,0.5,13,4.2,10,191,0.6,983,288,24,168,86,10,2,0.52
Cream of mushroom reduced salt,250 mL,262,134,558,6,17,9,0.8,5,2.4,14,168,0.7,562,691,21,189,74,21,tr,0.5
Cream of tomato,250 mL,262,155,647,6,24,16,1.3,5,1.9,10,173,1.9,802,480,26,160,69,22,4,0.47
#Soups Dehydrated prepared with water
Chicken noodle,250 mL,254,58,243,2,9,1,0.3,1,0.3,10,5,0.5,581,33,8,30,3,28,0,0.05
Minestrone,250 mL,268,83,349,5,13,N/A,0.8,2,0.9,3,40,1.1,1084,360,8,64,16,51,1,0
Onion,250 mL,260,29,120,1,5,2,0.8,1,0.1,0,13,0.2,897,68,5,31,0,3,tr,0
Ramen noodles chicken flavour cooked,250 mL,258,162,678,3,20,N/A,6.2,8,3.5,0,N/A,1.2,792,N/A,N/A,N/A,72,N/A,0,N/A
Tomato vegetable,250 mL,255,56,234,2,10,2,0.5,1,0.4,0,8,0.6,1154,104,20,31,10,10,6,0
#Soups Homemade
Chicken noodle,250 mL,255,135,564,19,7,2,0.9,3,0.7,64,26,1.1,336,302,30,168,136,28,3,0.22
Cream of vegetable,250 mL,251,62,262,5,7,3,0.8,2,0.7,2,53,0.6,586,287,11,95,99,11,3,0.31
French onion,250 mL,255,204,852,10,28,3,1.9,6,2.9,13,159,1.5,904,204,25,157,30,69,2,0.58
Lentil,250 mL,262,193,805,12,27,3,5.1,5,0.4,0,41,3.3,654,365,41,171,45,69,6,0
Split pea with ham,250 mL,267,190,797,13,31,5,3.8,2,0.6,7,39,1.9,312,437,50,176,56,70,2,0.04
Vegetable,250 mL,252,49,204,3,8,2,1.4,1,0.2,0,34,0.7,692,336,16,58,93,20,11,0.14
#Fats
Becel tub calorie-reduced canola and safflower oils (non-hydrogenated),5 mL,5,17,70,tr,tr,2,0.3,0.8,0.6,tr,0,1,0,46,1,tr,1,48,0.6,0.2
Becel tub canola and safflower oils (non-hydrogenated),5 mL,5,34,144,tr,tr,4,0.5,1.7,1.2,tr,0,1,0,52,2,tr,1,48,0.6,0.2
Butter,5 mL,5,34,144,tr,tr,4,2.5,1,0.1,0.2,10,1,tr,28,1,tr,1,33,tr,0.1
Chefmaster tub unspecified vegetable oils (hydrogenated),5 mL,5,34,144,tr,tr,4,0.5,1.6,0.9,0.5,0,1,0,52,2,tr,1,48,0.6,0.2
Imperial stick soy and canola oils (hydrogenated),5 mL,5,34,141,tr,tr,4,0.5,2.5,0.4,1.5,0,tr,tr,31,1,tr,tr,48,0.6,0.3
Imperial tub soya oil (non-hydrogenated),5 mL,5,34,144,tr,tr,4,0.9,0.7,1.8,tr,0,1,0,52,2,tr,1,48,0.6,0.2
Lactantia tub soya oil (hydrogenated),5 mL,5,34,144,tr,tr,4,0.7,1.3,1.4,0.6,0,1,0,52,2,tr,1,48,0.6,0.2
Margarine tub composite,5 mL,5,34,144,tr,tr,4,0.6,1.7,1.3, ,0,1,0,52,2,tr,1,48,0.6,0.2
Spread (20% butter / 80% margarine),5 mL,5,34,141,tr,tr,4,1,2.2,0.4,1,2,1,tr,43,2,tr,1,47,N/A,0.4
Spread (50% butter / 50% margarine),5 mL,5,33,137,tr,tr,4,1.5,1.8,0.2,0.7,5,1,tr,40,2,tr,1,16,0,0.2
#Oils
Canola,15 mL,14,125,525,0,0,14,1,8.4,4.2,0.3,0,0,0,0,0,0,0,0,0,2.4
Corn,15 mL,14,122,510,0,0,14,1.8,3.8,7.5,0.1,0,0,0,0,0,0,0,0,0,2
Flaxseed,15 mL,14,122,511,0,0,14,1.4,2.5,9.9,tr,0,0,0,0,0,0,0,0,0,2.4
Grapeseed,15 mL,14,122,510,0,0,14,1.3,2.2,9.6,N/A,0,0,0,0,0,0,0,0,0,4
Olive,15 mL,14,121,506,0,0,14,1.8,10.1,1.4,tr,0,tr,0.1,tr,0,0,0,0,0,2
Peanut,15 mL,14,121,506,0,0,14,2.3,6.3,4.4,N/A,0,0,tr,0,0,0,0,0,0,2.2
Sesame,15 mL,14,122,510,0,0,14,2,5.5,5.7,N/A,0,0,0,0,0,0,0,0,0,0.2
Soybean,15 mL,14,122,510,0,0,14,2,3.2,8,0.2,0,0,tr,0,0,0,0,0,0,1.3
Sunflower,15 mL,14,122,510,0,0,14,1.4,2.7,9.1,0.1,0,0,0,0,0,0,0,0,0,5.7
#Other fats
Bacon grease,15 mL,12,110,459,0,0,12,4.8,5.5,1.4,N/A,12,0,0,18,0,0,0,0,0,0.1
Lard,15 mL,13,117,489,0,0,13,5.2,5.9,1.5,0.2,12,0,0,0,0,0,0,0,0,0.1
Shortening,15 mL,13,115,481,0,0,13,3.2,5.4,3.7,N/A,0,tr,tr,1,0,0,0,0,0,0.1
#Salad Dressings
Blue cheese,15 mL,16,78,327,1,1,8,1.5,1.9,4.3,N/A,3,13,tr,170,6,0,11,10,N/A,0.9
Blue cheese low Calorie,15 mL,16,15,64,1,tr,1,0.4,0.3,0.4,N/A,tr,14,0.1,186,1,1,13,N/A,N/A,tr
Creamy Caesar,15 mL,15,79,329,tr,tr,9,1.3,2,4.9,N/A,tr,4,tr,161,4,tr,3,tr,tr,0.8
Creamy Caesar low Calorie,15 mL,15,17,70,tr,3,1,0.1,0.2,0.4,N/A,tr,4,tr,164,4,tr,3,tr,0,0.1
Creamy dressing fat-free,15 mL,16,21,90,tr,5,tr,tr,tr,tr,N/A,0,1,0.1,130,14,tr,0,tr,0,tr
French,15 mL,16,72,303,tr,2,7,0.9,1.3,3.3,N/A,0,4,0.1,133,11,1,3,4,0,0.8
French low fat,15 mL,16,33,138,tr,4,2,0.3,0.5,1.2,N/A,0,2,0.1,165,13,0,2,2,0,0.5
Italian,15 mL,15,43,181,tr,2,4,0.7,0.9,1.9,N/A,0,1,0.1,246,7,tr,1,2,0,0.7
Italian low Calorie,15 mL,15,11,48,tr,1,1,0.1,0.3,0.3,N/A,1,1,0.1,208,13,1,2,tr,0,tr
Mayonnaise,15 mL,14,100,419,tr,1,11,1.7,2.7,6,tr,5,3,0.1,79,5,tr,4,11,tr,0.7
Mayonnaise light,15 mL,16,51,215,tr,1,5,0.8,1.3,2.8,tr,6,1,0.1,107,6,tr,6,3,N/A,0.5
Non creamy dressing fat-free,15 mL,15,7,29,tr,1,tr,tr,tr,tr,N/A,tr,4,0.1,165,15,1,16,tr,0,0.1
Oil and vinegar,15 mL,16,73,305,0,tr,8,1.5,2.4,3.9,N/A,0,0,0,tr,1,0,0,0,0,0.8
Ranch,15 mL,15,71,297,tr,1,8,1.2,1.7,4.2,0,5,5,0.1,120,9,1,24,1,tr,0.7
Ranch low fat,15 mL,16,36,149,tr,3,3,0.2,0.9,0.7,0,3,20,0.1,151,21,1,31,3,tr,0.3
Salad dressing mayonnaise type,15 mL,15,58,243,tr,4,5,0.7,1.3,2.7,0.4,4,2,tr,106,1,tr,4,3,tr,0.3
Salad dressing mayonnaise type fat-free,15 mL,16,14,57,tr,3,tr,0.1,0.3,tr,N/A,1,1,tr,128,8,tr,1,0,N/A,tr
Salad dressing mayonnaise type light,15 mL,15,44,184,0,2,4,0.2,2.2,1.1,N/A,0,tr,0,117,0,0,N/A,3,N/A,tr
Thousand Island,15 mL,16,59,245,tr,2,6,0.8,1.2,2.9,N/A,4,3,0.2,137,17,1,4,2,N/A,0.6
Thousand Island low Calorie,15 mL,16,32,132,tr,3,2,0.1,1,0.4,N/A,tr,2,0.1,129,31,1,2,2,N/A,0.2
#Sugar Honey and Substitutes
Brown sugar,5 mL,5,18,73,0,5,4,0,0,0,0,4,0.1,2,16,1,1,0,0,0,0
Honey,5 mL,7,22,91,tr,6,6,tr,0,0,0,tr,tr,tr,4,tr,tr,0,tr,0,0
Icing sugar (powdered),5 mL,3,10,41,0,2,2,0,tr,0,0,tr,tr,tr,0,0,0,0,0,0,0
Sugar substitute aspartame (Equal),1 packet,1,4,15,tr,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar substitute sucralose (Splenda),5 mL,1,2,7,0,tr,tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White sugar (granulated),5 mL,4,16,68,0,4,4,0,0,0,0,tr,0,0,0,0,0,0,0,0,0
#Syrup and Molasses
Chocolate syrup thin type,15 mL,20,110,461,1,26,20,1,tr,0.2,0,6,0.8,28,89,26,51,tr,tr,0,6
Corn syrup,15 mL,21,59,249,0,16,6,0,0,0,0,4,0.1,32,9,2,2,0,0,0,0
Maple syrup,15 mL,20,55,230,0,14,12,0,tr,tr,0,22,0.2,2,46,4,tr,0,0,0,0
Molasses,15 mL,21,62,257,0,16,12,0,tr,tr,0,44,1,8,311,51,7,0,0,0,0
Pancake syrup,15 mL,20,47,195,0,12,7,0.1,0,0,0,1,tr,16,3,tr,2,0,0,0,0
#Preserves
Double fruit jam type spread,15 mL,19,42,177,tr,10,9,0.5,tr,0,0,2,0.1,6,N/A,N/A,N/A,N/A,tr,N/A,N/A
Double fruit jam type spread reduced sugar,15 mL,17,23,95,tr,5,5,0.4,tr,0,0,3,0.1,3,N/A,N/A,N/A,N/A,tr,N/A,N/A
Jams and preserves,15 mL,20,56,234,tr,14,10,0.2,tr,tr,0,4,0.1,6,16,1,4,tr,2,0,0
Jelly,15 mL,21,56,235,tr,15,11,0.2,tr,tr,0,1,tr,6,11,1,1,0,tr,0,0
Marmalade,15 mL,20,50,207,tr,13,12,0.1,0,0,0,8,tr,11,7,tr,1,1,1,0,0
#Dessert Toppings and Spreads
Chocolate topping fudge-type,30 mL,39,135,564,2,24,13,1.1,3,1.5,1,39,0.6,133,174,25,65,2,tr,0.11,3
Pie filling cherry canned,30 mL,25,29,121,tr,7,N/A,0.2,tr,tr,0,3,0.1,5,26,2,4,3,1,0,0
Spread chocolate hazelnut (Nutella),30 mL,38,203,848,2,23,21,2,11,2,0,41,1.6,15,153,24,57,tr,0,0.11,3
Topping or spread butterscotch,30 mL,42,105,438,1,27,N/A,0.4,tr,tr,tr,22,0.1,145,35,3,20,11,tr,0.04,0
Topping strawberry,30 mL,43,110,458,tr,29,12,0.3,tr,tr,0,3,0.1,9,22,2,2,tr,6,0,0
#Candies
Butterscotch,1 piece,5,21,87,tr,5,4,0,tr,0.1,tr,tr,tr,21,0,tr,tr,1,0,0,0
Candy chocolate covered sweetened with sorbitol,1 piece,5,29,120,1,2,1,0.2,2,1.1,1,15,0.1,5,30,5,17,3,tr,0.04,tr
Caramel,4,40,154,646,2,31,26,0.5,3,2.7,3,56,0.1,99,86,7,46,tr,tr,0,0
Chewing gum,1 stick,3,7,31,0,2,2,0.1,tr,tr,0,0,0,tr,0,0,0,0,0,0,0
Chewing gum sugarless,1 stick,2,5,22,0,2,0,tr,tr,tr,0,tr,0,tr,0,0,0,0,0,0,0
Fruit leather,1 roll,14,52,217,tr,12,7,0.5,tr,0.1,0,4,0.1,44,41,3,4,1,17,0,0
Fudge chocolate homemade,1 piece,17,70,292,tr,13,13,0.3,2,1,2,8,0.3,8,22,6,12,7,0,0.02,1
Fudge vanilla homemade,1 piece,22,84,353,tr,18,18,0,1,0.6,3,7,tr,11,10,1,6,10,0,0.02,0
Gumdrops,10 pieces,36,143,596,0,36,21,tr,0,0,0,1,0.1,16,2,tr,tr,0,0,0,0
Hard candy,1,6,24,99,0,6,4,0,tr,0,0,tr,tr,2,0,tr,tr,0,0,0,0
Hard candy reduced sugar,1,3,11,47,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jellybeans,10 beans,28,105,439,0,26,20,0.1,tr,0,0,1,tr,14,10,1,1,0,0,0,0
Licorice strawberry (Twizzlers),3 strips,38,132,553,1,30,15,0,1,0,0,0,0.2,108,N/A,N/A,N/A,0,0,0,0
Marshmallows,1,7,23,96,tr,6,4,tr,tr,tr,0,tr,tr,6,0,tr,1,0,0,0,0
Sesame crunch (sesame snap),4 pieces,35,181,757,4,18,11,2.8,12,1.6,0,229,1.5,58,113,88,148,0,tr,0,0
Skittles,10 candies,11,43,181,tr,10,8,0,tr,0.1,0,0,tr,2,1,tr,tr,0,7,0,0
Toffee,1 piece,12,67,281,tr,8,8,0,4,2.5,12,4,tr,16,6,tr,4,38,tr,0.01,0
#Chocolate Bars
Almonds chocolate covered,10,32,180,752,4,15,12,1.4,12,4.8,4,64,0.8,16,N/A,N/A,N/A,0,0,N/A,N/A
Caramel coated cookies chocolate covered (Twix),1 package,58,289,1210,3,38,28,0.6,14,5.2,3,52,0.5,112,110,19,63,13,tr,0.17,2
Caramel with nuts chocolate covered (Turtles),2,28,132,550,3,17,12,1.2,6,1.3,0,22,0.5,7,125,23,46,12,tr,0,5
Caramel chocolate covered (Rolo Caramilk),1 bar,52,246,1031,3,35,33,0.5,11,7.5,6,75,0.2,98,98,0,37,18,tr,0.14,2
Chocolate covered wafer (Kit Kat Coffee Crisp),1 bar,42,218,910,3,27,20,0.4,11,7.5,5,53,0.4,23,97,16,57,10,0,0.24,6
Chocolate malt-nougat and caramel chocolate covered (Mars),1 bar,58,245,1026,3,42,35,1,9,4.5,8,75,0.4,139,140,20,84,10,1,0.19,5
Chocolate candy coated (M&M'S Smarties),1 package,40,201,841,2,27,25,1.1,9,5.8,6,46,0.5,27,117,18,66,16,tr,0.12,N/A
Chocolate semisweet bars or chips,60 mL,43,204,853,2,27,23,2.5,13,7.6,0,14,1.3,5,156,49,56,0,0,0,26
Coconut candy chocolate covered (Bounty -Almond Joy),1 bar,49,235,981,2,29,24,2.5,13,8.6,2,31,0.6,70,124,N/A,55,N/A,tr,N/A,N/A
Fondant chocolate covered (After Eight),2 pieces,16,59,246,tr,13,11,0.3,2,1.3,0,4,0.3,2,N/A,N/A,N/A,tr,0,N/A,N/A
Fudge caramel and nuts chocolate covered (Oh Henry!),1 bar,63,289,1208,5,41,31,1.3,14,4.2,6,51,0.4,144,203,32,88,6,tr,0.13,3
Milk chocolate and crisped rice (Nestle Crunch),1 bar,40,209,873,2,26,22,1,11,6.1,5,68,0.2,53,138,23,81,8,tr,0.15,10
Milk chocolate bars or chips,1 bar,50,268,1119,4,30,26,1.7,15,7.1,12,95,1.2,40,186,32,104,25,0,0.31,10
Peanut butter cups (Reese's),3 cups,51,263,1099,5,28,24,1.8,16,5.5,3,40,0.6,160,175,32,82,9,tr,0.29,9
Peanuts chocolate covered,10,40,208,868,5,20,15,1.9,13,5.8,4,42,0.5,16,201,38,85,14,0,0.18,9
Raisins chocolate covered (Glosette),10 pieces,10,39,163,tr,7,6,0.4,1,0.9,tr,9,0.2,4,51,5,14,2,tr,0.02,3
Toffee chocolate covered (Skor),1 bar,39,209,872,1,24,23,0.5,13,7.3,21,51,0.2,124,60,4,24,60,tr,N/A,N/A
#Desserts Frozen
Chocolate ice milk bar (Fudgesicle),1,51,65,271,3,14,10,0.9,tr,0.2,2,81,0.5,48,N/A,N/A,N/A,N/A,1,N/A,N/A
Frozen yogourt chocolate,125 mL,91,116,484,3,20,20,1.2,3,2.1,12,91,0.4,57,213,23,81,36,6,0.06,3
Frozen yogourt vanilla,125 mL,76,124,519,3,18,18,0,4,2.6,2,109,0.2,66,161,11,98,45,1,0.22,0
Fruit and juice bar,1,77,63,264,1,16,13,0.8,tr,0,0,4,0.1,3,41,3,5,1,7,0,0
